"","x"
"1","This is my second s6.  Ruined the original last summer while submerged in the Bitterroot river.  Hot phone, cold river sucked the water into the phone.  Replaced it with a used S5.  Got a good deal(this one) on a refurbished phone.  The phone looked brand new, no scratches and works perfectly.  The S6 is the ultimate smartphone, a finished product.  I enjoy being outdoors and running long distances while listening to music.  The display is excellent and you can see it in direct sunlight.  I use my Garmin 235 with the Garmin Connect software on the phone which turns out to be the perfect combination for outdoor sports.  The camera takes great photo's and it is fast.  Video is excellent.  They have an improved sensor for heartrate, oxygen and stress. Unlike the prior S5, the sensor displays a sine wave and seems to be consistent and accurate.  The glass and metal is a beautiful combo and feels expensive in your hand.  I used an Otter Box on my destroyed S6, while it provides excellent shock resistance, it is not water proof.  Water will destroy this phone, more so than any electronic device I have used in the past..  I purchased a S6 Waterproof Case, Caka [Newest Version] Full-body Underwater Waterproof, for my S6 when I am near water or when it is raining.  the battery seems to last a long time depending on how I am using it.
            "
"2","Save your money and never buy from this sham of a company. I purchased this phone after doing extensive research on what kind of phone I wanted, and this one fit the bill best, so I was excitedly waiting for it to arrive. Activating it on my network wasn't a problem, but I had nothing but problems from then on. For starters, the battery must have been bad because the battery died at a rate of 20-25% per hour during normal use texting and browsing Pinterest. There was a hardware defect in the camera causing permanent blue confetti-like lines in all my photos. When the phone was on the home screen, it would at least once a day vibrate harshly and make a loud noise reminiscent of tuning an old tv to a static channel. I was worried it was going to explode, honestly. I emailed the company around 3pm the day I received the phone about the camera issue and got an automated message saying they were unavailable and to try back during normal business hours. A few days later (around 1pm on a week day) when I had discovered the other defects, I called them. After being put automatically on hold for literally 5 minutes, I got an automated ""We're busy or you called during non-business hours. Call again Mon-Fri, 9-5"". I'd be flabbergasted to learn they actually employ people for customer service because I only got repeated automated messages. There is nothing ""Certified"" about this company's products, and the only thing that might be ""Refurbished"" was the packaging. Take your business elsewhere. I bought a new device from a different vendor after returning this one and am much happier.
            "
"3","Phone freezes all the time, screen goes black and is unresponsive to anything other than a soft restart. I can't go more than an hour without a freeze. Also the charger came broken.
            "
"4","So far so good.  I was a bit hesitant since it was refurbished but it came looking good as new. Easy set up; I am using this phone outside of the US so I had to put my own data network provider in manually, but it was effortless.  The back of the phone doesn't open so the batter can't be changed, well not by you.  And the sim card goes in the side of the phone, no memory card slot, but it has 32 GB of memory.  The only negative thing I have to say about the phone is that it doesn't hold charge for too long it seems.  At least not for a full day.  I definitely have to charge in the morning and afternoon to full power. The camera/picture quality is GREAT!  Crisp and crystal clear, the video zoom is clear also; that was the whole reason I wanted a Samsung.  Oh and I dropped it face down already, day 1 from a good height, ! was certain it was shattered, not a scratch! I do have it nicely protected now.
            "
"5","I bought this phone as a gift for my mother in law because I purchased two last year for my wife and I,  they were just great. It came. Well packed.
            "
"6","My wife and I love this phone and have owned two of these over the past 4 years.  The updated functions you get with a new phone IMO are not worth the extra cost.  I can get 4 of these for the price I would pay for a flagship phone with similar functionality.  Plus I don't have the same level of worry about dropping/losing my $800 phone with this phone! The only reason why we ended up getting new phones were due to cracked screens or drops which damaged the phone.  We have since learned and purchased cases for our phones which should extend the life.
            "
"7","Another refurbish fail.  The battery won't hold a charge, and this phone was not restored to factory settings.  Battery should be replaced with new as part of a refurb.  Very disappointed.  Will never purchase another ""certified refurbished"" item through amazon.  Ends up being more hassle for not much savings.
            "
"8","Unfortunately the phone didn't work as expected. Battery charge didn't last very long (approximately 4 hours on a full charge) and phone got hot when in my husband's pocket and it was not even on. I didn't realize how bad it was until I bought him a different phone. We are past the return date. Would be great if I could exchange or see if it can be fixed, not doing us any good if we can not use it.
            "
"9","This phone arrived quickly and looked great.  I began having weak signal problems right away, however.  I tried changing the SIM, reinstalling the software (including all the updates) and nothing worked.  I had my old phone right beside this one on my desk at work, old phone had 3 bars on 4G, this phone had 1 bar on 3G.  Inside the Verizon office was the only time this phone ever went to 4G and it was only 1 bar.  In my research, during the hours I spent downloading and installing new software, I discovered that some of these phones had an interanl antenna issue.  I decided not to exchange as I thought the odds were high that I might get another one of these.  I decided to shell out the dough for a new S7.
            "
"10","Just got this phone in today and can't even use it, it is signed in to the previous owners Samsung account and completely locked out. Have never been so frustrated with a phone purchase. Now I am sure I will have to pay shipping to return it.Update: Returned the phone and am waiting for a new one, will change my review when I get the new one, hoping the last one was just a one time mistake.
            "
"11","Well I'm glad I didn't write another review.  Would not want others to know I'm having a problem because I really like the phone.  Now I have problems.  I was afraid of that by getting a refurbished phone.  Here in the last week or so when I am texting, the phone will just reboot on me.  It goes to a red Samsung screen.  I lose everything.  I didn't mind at the very beginning because it only happened once or twice.  Now it is happening quite often.  I plugged it in this morning to recharge and when I went to get it and use it, it would not come on.  The blue light was blinking.  I held the ""turn on"" key down and still nothing. I tried 3 different cords.  I only have 90 days to get this resolved, well 6 weeks now.  Can you help me?  I had problems when I first got the phone.  Called Mango and should be on record.  Took to Verizon for help.Thanks, Sandra H Tatum (7/19/2017
            "
"12","Strange why the 32GB version was more expensive than the 64GB version. However, I have no issues with our phone whatsoever.The only downside is the preinstalled Verizon bloatware, but an amazing app in the Google Play Store, the 'BK Samsung Package Disabler' helped stop the Verizon bloatware that's known for installing apps on your phone silently and without permission.After handling the bloatware, the phone is amazingly fast and it's battery lasts for a full day on end.Even though many believe that the battery is non removable. It's easy to get inside the phone by using specific items such as a heat bag and such to slowly pull of the back panel and to get a battery replacement. Just note, I never had to do this with my phone yet; as the battery still seems perfectly healthy with use.I recommend all cell phone users to at least treat their phone battery with the least wear by using a beefy battery bank. Draining your battery daily to around 25%-45% is a way to slowly harm your battery quicker.It's better to drain a battery bank with wear, than a phone battery.
            "
"13","**UPDATE**After having this phone for 7 months, I have to reduce it to 1 star.  I would not buy again.  The charging port has been flakey (as noted in my original review which is in its original form below) and finally gave up.  Now, something I did not know about this phone is that you cannot replace the charging port without replacing the screen as well.  That's not good, because it's $150 to fix it, and even more if I want to replace the battery.I would definitely look elsewhere for a refurbished phone knowing this now.  Lesson learned - know what repair options are available for the phone you are buying refurbished - assume you'll at least have to replace a battery and charging port (and possibly headphone jack) and make sure they don't make your phone a throwaway if you have to do that.** Original review below **This device looks like new, was unlocked and easy to add to my carrier (Verizon) and I have been using it since the day I got it.  The cons:* Battery is not great, pretty good but does not last more than 1 full day, if I don't charge it at night it's dead the next day* Charging port is a little sketchy, you have to be careful putting it down after plugging it in or it will not make a good connectionAll in all, not a bad buy for a decent phone.  Sure beats buying a new one.
            "
"14","Ordered this product on December 30th 2018, received the phone main home button was dirty and had what looked to be brown crust stuck in it. Buttons Alomg the side of the phone had dirt stuck in them as well. Phone was dingy, did not receive a Samsung charger in it, but rather a charger you would buy in a gas station. Battery life was well the biggest downfall. Phone would only charge to 60%, once I take it off the charger it¡¯s at 5% in about twenty minutes and then dies. Doesn¡¯t hold a charge. Purchased a Samsung charger for it to see if the charger they provided was malfunctioned and it¡¯s definitely the battery. Waste of money. Please take this product down !!
            "
"15","Bought the refurbished white S6, looks and operates like brand new. It seems like a new smart phone model comes out every year, but for someone like me who just wanted to upgrade from a flip phone to a smart phone, this was like going from a beater car to a Mercedes. I'm still impressed by it, it has crisp response time to everything I do, has decent audio level for listening to audiobooks while driving (maybe not with the windows down), and has a good battery life, about a day with normal use. But really, I charge in my office and at home, so it's never been an issue. Doesn't have the battery life of an iPhone maybe, but hey I paid $178 for this baby, and I don't think I would have even noticed the difference between this and a $1,000 phone. The difference would have been lost on me completely. I use the phone for light mobile gaming, music, calls/texts, snapchat, etc. and it does everything fast and reliably.
            "
"16","So far it seems ok. There's a few blue spots on the front cam that I think are dead pixels.The battery life isn't the vast either.But it doesn't freeze like my s5 did.
            "
"17","Battery life is extremely short!
            "
"18","Was worried Id receive a phone that wasnt thoroughly tested but after a week Im happy.  Within 15 minutes of getting the phone I had it connected to walmarts total wireless network.  Another half hour later the data was working.  I did have to call total wireless support to get the APN pushed to the phone correctly.  Battery life is average.. the s6 isnt known for a great battery.  I bought the gold phone and it didnt even have a scratch on it.  The only issue I had is there was a day delay in shipping.. no big deal, amazon communicated the delay and all was well.  I refuse to pay over $200 for a phone and this worked out perfect.. the s6 is a great phone for the money... unless you are one of those who has to look like you have the best in front of your friends.  Oh, I charge the phone in a wireless charger and no heat issues.. just a great phone.
            "
"19","Very good phone for the price since it works so much better then the galaxy s5 in speed and multi tasking. I am able to use things like messagneger, YouTube, and the internet app at the same time all running well with multi split screen. The charger that comes with it is 3rd party wall plug but 1st party in the cable, making the claim it is just like a new phone not as close. The phone it self is like new with no damage on any side of it with every feature working like new. The lack of a sd card is not that big of deal if you back up photos and songs and don't have huge games or way more then a few apps. The battery is good enough to last the whole day if it starts out at 100 and is not used hard. The ultimate disadvantage this phone has for my old s5 is the lack of just putting a new battery in since it is now sealed.The wireless charging works great even in a defender case that had plastic under rubber. I never really notice the phone getting really hot with the case on it so holding it is comfortable.Overall if you are looking for a phone that can do everything you need to do under $200 and won't break or lockup easily, pick this phone up with a defender case form otter box, a glass screen protector if you drop your phone a lot , a battery pack and a fast charger if you are a heavy user.
            "
"20","I purchased the phone and the SIM would not read. I even took it to Verizon to get help but was not able to get it running. I returned it for another one and same problem occurred. I could not, in good conscience, recommend this vendor. Sorry.
            "
"21","This was a Sweet Deal!!The S6 is a great phone for all.Smooth operation. Great camera. Split-screen.Everything about Samsung S6 is beautiful ly laid out for the user. Quick action. Great design also.The phone you can count on. At an amazing price,under $200!! Certified refurbished. Don't miss out on a tremendous deal!!Get one Now.
            "
"22","I bought this in August and by November it started shutting off. I turned it back on by holding down the three reset buttons.  But by December it started shutting down and not turning back on even after hitting the reset buttons.  The battery would also drain quickly and the wifi/mobile data didn't work as well as my previous Samsung Galaxy 4 or my current Galaxy S7. Maybe that's the problem with used phones.  The only reason I kept it for this long was because I had another phone through a local low-cost store and that phone has unlimited data and I had very few problems with wifi/mobile data. I wasted $200.
            "
"23","I love the phone and it's been very reliable. The camera is amazing! There were no marks, scratches or blemishes on mine. I held off for a while before I reviewed it to make sure it wasn't going to die on me. So far, so good... :)
            "
"24","I upgraded from a Samsung Galaxy S4, and the improvements are quite noticeable. This refurbished phone shows no wear. The battery seems adequate, although I do not spend much time on it. I had one minor problem with the charging port--the fit was loose and I had to push the connector in with some force to get a connection. Because of this I could not charge the phone when it was hanging on the dashboard in my car. I called Amazon and they said to take it to a repair shop and they would reimburse me. I did and all it needed was a clean out of the port and a new charging cord which had been damaged by the condition of the port. Amazon was true to their word. The phone is like new and I'm very happy with it. UPDATE: After about six weeks of use the phone began to shutdown and would not come back on.  I found instructions for turning it back on with alternative reboot methods. It was shutting down about once per day which was tolerable, but at about two months, it began shutting down after only minutes or seconds. I'm happy this happened within the Amazon 90-day warranty so I mailed it back to Kiss Electronics who accepted my return with no questions asked.
            "
"25","This phone is amazing! I was initially very scared to order this because when it did it had no reviews for it but I'm glad I did! I've had it for about two months and it works amazing. I can honestly say this is the best phone I ever owned. It was easy to connect it with straight talk and I definitely do not regret my purchase
            "
"26","This phone is okay.  I bought this one to replace my Galaxy S5.  I also bought the same phone for my husband.  He has glitches where certain programs and built-in apps do not work at all or do not work properly.  Same goes for mine.  The screen on my phone has a ""background"" where it looks as though there is another screen behind it constantly.  It's just enough for me to notice that it is there. It's not bad enough for me to go through the hassle of replacing the phone. Guess that's what I get for purchasing refurbished phones.  It's always hit and miss.
            "
"27","The phone came in a weird package but I have to say the phone looks flawless. It works great and I had no problems getting it set up with Verizon.  I was worried by some of the reviews but I took a chance. I gave it 3 stars because the charger it came with isn't the original one and it takes forever to charge. I had to purchase a different one.
            "
"28","Works great, it came in pristine condition. I've used it everyday for a year. Only complaint is after I bought it I got spam calender notifications (which I later found out that anybody with your email can create because Google made it that way, very insecure on Google's part). I disabled the setting in my email that made this possible (which was on on my previous phone with no problem). I recommend factory reseting any phone you buy online yourself, just to make sure it's 100% clean software wise.
            "
"29","So I decided to upgrade from my s4 that I was holding onto due to the power button trying to give up the ghost on me. I found this unlocked Samsung Galaxy S6 in GOLD and was intrigued.When it arrived, I added the SIM Card, got it activated with my carrier (pagepluscellular.com) and started adding my info to it. It was that easy. So far I am very pleased. I haven't had to charge it yet since I got it. I will probably do that this evening.It comes with the phone, the charger cord, brick (for the wall) and the little device to access the card holder.
            "
"30","Ordered from 3rd Party Seller so I was a little worried. Product looked find upon arrival.  I'm not a ""Techy"" so I asked a friend check it out. He opened all the settings and confirmed it has latest security and updates. I  downloaded apps and made a couple of phone calls; no issues.  This is my first ""smart"" device with all the bells and whistles so I really don't have anything to compare it to. Thus far, it has exceeded my expectations with ease of use and function-ability.  I'm huge fan of Amazon, so I will probably always be an Android guy
            "
"31","So far so good! This refurbished Samsung Galaxy 6 arrived in pristine condition.a. The display is sharp and clear, as expected.b. Initially, I was a bit concerned about how quickly the battery got hot. I turned on ""Medium power saving mode"" and it has seemed better ever since.c. I like the 16MP camera, with features like slow or fast motion and virtual 360-degree photos, as well as the capacity to apply ""Pro"" settings.c. No possibility for additional memory card, but I hope 32GB will be enough.d. I purchased it for use in New Zealand, as an unlocked phone. I wasn't sure how to set it for use with my mobile provider, but eventually I got it up and running. For anyone with similar concerns:Under Settings, choose ""Mobile networks"" --> As preferred ""Network mode,"" my local service rep picked GSM (specifically, ""LTE / GSM / UMTS"")  However, at some point, the device automatically reset itself to ""GLOBAL"". Not sure what's optimal?--> Under ""Access Point Names,"" choose ""ADD"" and manually enter the name of your provider. I only filled in the ""Name"" and ""APN"" fields, leaving everything else as ""Not set"" or the default. It seems to be working fine. ?__?However, I think I probably need to refine these settings further, at some point.All in all, very happy with the purchase, especially after adding a tempered glass shield and rubber case so I don't break it, like my last phone.
            "
"32","Battery bad, only lasts an hour or so.  Takes 8 hours to charge with the supplied charger.  Micro usb port is loose so most cords just fall out.  When I complained, the seller said it would cost $20 to replace the battery.  He was off by a lot it will cost $70-80 to replace the battery and I have no idea how much it would cost to fix the USB charging connector.  I really want a replacement, but the only option is to return.  Then my daughter would be without a phone for too long.
            "
"33","I actually love this phone model...however, though it was certified refurbished, it did not update APPS or did it update or show updates available for the systems operation.  It also did not back up properly.  In addition, after shutting the phone off and restarting, I could not receive calls or texts until I initiated a call.  I discovered this after numerous tests to confirm.If the new models work properly this is a good phone, I believe.
            "
"34","The phone came and looked great. I kept it packed up for a couple weeks to give to me daughter for her birthday. Turns out the battery life is only approx 5. hrs and the aux. port doesn't work. Saw my 'return window' was closed, so not thrilled with my purchase. I have bought refurbished phones before with great results, but got burned this time.
            "
"35","The phone arrived in good shape looks like new, works well but the battery does not last a day. I removed many apps, I did not download Facebook because I thought it would make things worse, there's no reason the battery shoulbd not last longer than it is. I'm assuming the battery is bad I have contacted their customer support we will see what happens?Update... Seller responded almost immediately and offered several options, one was to send another phone. Once I receive the new phonei will update my rating.
            "
