"","x"
"1","What I like the most about the phone is that it was a unlocked phone but when I had it activated by T-mobile it work fine for a day unlimited data,talk, and texted. The second day I got a notice in notification screen that it needed a Verizon Sim card ,the phone became useless no talk no text. I reboot the phone and notice at start up a Verizon start up screen a peers.  Is the phone locked or unlocked as advertised?
            "
"2","I received a demo phone empty and a different model. These are crooks. It's a fraud.
            "
"3","This is a Samsung phone. It came with AT&T instruction book.The description stated it was a US unlocked phone and it is not.The phone came and the default language was Dutch. Had to use google to translate so I could get it set.The phone will only only use 3g and 2G. 4G is not available.Do not purchase this phone if you are expecting a US version. Amazon should prevent fraudulent vendors like this from selling on their site.
            "
"4","Ordered this device while Harvey was ongoing. There was a slight delay, but that was inevitable due to the inclement weather. Arrived within the time frame and Amazon notified me, as and when there were delays.The device was grouped with the Case and Screen Protector that I had ordered, which was very convenient. Packaging was secure which is expected for this device at such a price range.Overall, the phone is brilliant. Sharp display, clear camera images with AF. It runs all apps like a breeze and is well suited for heavy multitasking. The bezel-less display is a joy to look at and reading on it is very comfortable. It also ships with USB (B to C) and (A to C) adapters, which helps during our transition to USB C type plugs.The battery life is amazing, for a phone with such a sharp and bright display, and also considering the hardware. The 3500mAh battery offers enough juice for an entire day of light usage. Heavy use - like watching movies or playing games like Real Racing, etc. drains it faster, but that is expected from demanding apps.The issue of the fingerprint sensor being too close to the camera is real for the first few days; but after using it as your daily driver, you tend to figure out where it is and it doesn't pose much of a bother, unless you deliberately want to smudge your camera lens.I would highly recommend this device to anyone with a moderately high budget. It looks amazing and performs much better than it looks. I would also recommend to get a protector case (the rear side is a fingerprint magnet and you wouldn't want to crack this amazing display) and a screen protector. To all those having second thoughts, I would say: Go for it!
            "
"5","Very disappointed with this purchase. No US warranty!Since I opened the box, the phone came with vertical marks on both edges. Very light marks but noticeable with the screen off.I passed that issue, but two days ago the screen glass broke on the botton edge without any apparent reason.I took the phone to an authorized shop to change the glass and the attendant told that it is an international  version and don¡¯t have warranty in the US. Really disappointed with this phone.Don¡¯t know how Amazon let this type of products are sold in this site.
            "
"6","If you bought a Samsung S8+, you now have Bixby, a piece of bloatware written by a group of teenagers tasked by Samsung with imitating Google Now, Alexa, Cortana, and Siri. The result is absolutely catastrophic and reminds of Word 1.0 (if you are old enough). The software still does not recognize voice <U+2013> no, it¡¯s not just because of my accent <U+2013> making it perfectly useless.The catch is that this ¡°assistant¡± <U+2013> which would be called Jar Jar Binks if it was from a galaxy far far away <U+2013> is tied to a side button. As soon as the S8 was released, people came up with Google Play applications to remap this button or to disable the software altogether. Samsung retaliated by releasing an update to prevent the hack from working. It lasted for a week until a clever developer found a countermeasure.One million people have downloaded one of the anti-Bixby programs on Google Play. The other Samsung S8 users are probably trying to figure how to do it, I guess. Well done, Samsung! You have released another Galaxy Note 7...So, I will now give you a way to BOTH disable the pathetic Bixby AND remap the button.1. Download ¡°Package Disabler Pro¡±2. Search for the Bixby software in ""Package Disabler Pro"" and disable all EXCEPT Bixby Home and Bixby Voice. They will be rendered harmless without the services except that they detect the button press and raise an event. You can disable the rest of the Samsung bloatware while you¡¯re at it.3. Install the BxAction software from Google Play4. The BxAction software detects the raised event from step 2 and it will be able to start another app.5. Map the button to something useful like Google Now (which is a piece of software that actually does what Samsung advertises Bixby for...)
            "
"7","Do not buy Samsung. Everything I own is Samsung, been buying Samsung for probably 10 years, but no more. This phone stopped charging. I contacted Samsung 1 week before my warranty was up and they said it would be fixed and I would be contacted shortly. 2 weeks went by and I heard nothing, so I called. They said my warranty was up, even though I had contacted them when my warranty was still good. I still have the transcript of my first contact with Samsung proving I was still in warranty during during my first contact. They are now ignoring me and do not want to fix the phone.
            "
"8","This is a really good phone with amazing display. I received the shipment in very good shape (and all the items which are supposed to be there are included). It was very kind of the seller to also provide an converter for the adapter. It has been only 24 hours since I'm using the phone, but still here are my feedback with the limited use:Pros:- Display is simply amazing. This is the best display I've seen in a smart phone till date.- Battery life is decent, given that it's my first day so I'm using it quite a lot, but still able to get decent enough battery life at the end of the day.- Both the facial and iris recognition works very fast, I don't know how secure they are, but for me it works fine if there is some level of security and it opens real quick.- Included earphones are decent enough (not too great).- Always on display mode is really helpful.Cons:- The good old finger print whine. How can designers be so foolish to place it at the worst possible location on the phone. Seems like they were too proud to simply copy the ideal placement from Nexus/Pixel line. I might get used to it, but right now it's a conscious effort each and every-time.- The phone is too slippery in the hand, so it'll be almost impossible to carry it without a  protective case.- Again what were they thinking when they launched Bixby. It's almost pathetic in comparison to Google Assistant. I might end up remapping the Bixby button to GA anyways.- Not a flaw of the mobile, but this particular international version doesn't have a warranty (as is rightly mentioned in the product description), so you can't register the phone on Samsung US website.
            "
"9","Received on time in excellent packing conditions.  FINALLY, I purchased a phone from Amazon that said it was ""new"" and it is!  This is the 3rd one that I had to buy to have that happen.  The other 2 sellers listed their phones as new and when they arrived the seal was broken or totally taken off all together.  The first guy actually put a new sticker that said ""do not accept if seal is broken"" over top of the original ""broken"" sticker.  The second guy just removed the sticker altogether so there wasn't a sticker at all.  I've bought a slew of Samsung phones over the years and I knew what to expect, but if you didn't know, you would probably wouldn't realize the difference.  BUT, having said that, this phone came brand new with the unbroken sticker. It is working perfectly (albeit is only 1 day old now).  The color is quite pretty and I think both men & women will like it.
            "
"10","This product is not US version nor having any US warranty. Also model number mentioned is different than mentioned in phone settings. Amazon should blacklist this type of sellers. (VIPOUTLET). If this is mistake by Amazon, Amazon should be sued for manipulation. When i tried to register this phone, i got following message:""Possible reasons for the error include serial/IMEI number is not valid, product is older than 3 years, product was purchased outside the U.S.""
            "
"11","For those of you that are consider buying this phone, let me mention some common variation of this phone:SM-G955F: International version, Samsung Exynos Processor (supposedly use less battery, last longer) , for GSM carriersSM-G955FD: International version, Duel Sim Card, Samsung Exynos Processor (supposedly use less battery, last longer) , for GSM carriersSM-G955U: US version, Snap Dragon Processor (supposedly better graphic support for gaming), I see people said the unlocked version support both GSM and CDMA carriers, but I do not have this version and have not verify this myself.Above are for S8+, S* is similar, part number replaced 955 with 950, with smaller screen and battery power.I used SM-G955FD:for about a month now, this is the most expensive phone I purchased.  Below is my list of pro and con.Pro:Decent Camera, good with low light environment.Great Battery life, 3500 amh, last longer then any other phone I had in the past.Support wireless charging, water-proof.Less overheating.  It gets warm when playing games while charging but never gets to point where it is too hot to hold.Con:Unusual Screen ratio.  Most game app do 16:9 screen ratio, this phone is thinner so when playing games, there are black boarder on both side and make it look smaller compare to other phone with same screen size in the market.  This also make it more difficult to type, I often press wrong key by accident due to spacing.Overall, I think this is a good phone.  Best Buy is offering a lot of promotion on this phone right now so you might wish to shop around before choosing where to buy it.
            "
"12","Ordered this as a used item. Everything about it was New. Packaging, condition, etc.  Even though the phone was not designated with any carrier, it worked with Straight Talk and their AT and T Sims card. Impressed with features, speed and screen
            "
"13","After my phone started to show it's age (about 5 years old and the battery needed to be constantly charged up during the day). The hunt for a new phone began. After reading a bunch of reviews and going on the various phone forums, I decided to go with the Samsung S8+. I had an iPhone before and hated it, so, that was not an option.I've had the S8+ for a year now and I couldn't be any happier. The unlocked version was a better buy than getting it from my carrier because Samsung sends out updates immediately, while your carrier is a lot slower in rolling out the latest updates. One of the reasons for not getting it from my carrier is the lack of ""Bloatware"" that carriers like to add to their phones. My unlocked phone still has a very good battery life (I can go three days without charging my phone). Under heavy usage, I can go two days between charges.
            "
"14","Verizon could not activate phone because it is not USA version. I took all precautions by purchasing phone case and screen protector. Placed protector and all on phone out of box. Now I have to return all. just a waste of my time and money. Now why sell a phone in the USA if it's for United Arab!!! This is a scam. Buyer Beware!!
            "
"15","Wifey's an Apple-Head ... I'm Team Samsung ... the debate continues.  She recently upgraded to the iPhone 7 Plus (Red Special Edition) ... & it's 'nice' ... but when I received my new Galaxy S8+, I was instantaneously reminded of the style, quality & excellence that only Samsung can deliver.  It's not even close.* FYI ... I purchased a Verizon Prepaid SIM Card, as a suggested add-on through Amazon after adding the phone to my Cart.  The Verizon SIM Card is a 'Verizon Wireless SIM Kit Prepaid Sim Card - (Moto G & Any Verizon Branded Phone)'.  When I attempted to activate the phone w/ SIM Card through the Verizon Wireless website, the activation would not complete & Verizon claimed I needed a 'Samsung' SIM Car Kit.  However, my wife completed the activation steps that accompanied the SIM Card Kit (the instructions on the packaging), & the activation completed flawlessly.
            "
"16","This is a beast of a phone. Its design and screen are just fantastic.Easy to handle and very sleek. Awesome camera. Nice UI. Fully featured.It is slightly slippery though. Make sure to put a cover on it.As mentioned, it is an international model from UAE. Genuine product. I bought from Wireless Place seller and using it in India.Would not go more into pros and cons as you can find them online. Just look at them pics and decide for yourself.Please rate this review as helpful if you find it to be.Thanks,Jatin
            "
