"","x"
"1","I've only been using this phone for a few days but wanted to share some first impressions.Pros:1. The phone gives you an amazing amount of screen space with almost no bezel and the screen is stunningly beautiful. For a phone of this size, it doesn't seem overly large and being a woman, I have relatively small hands so size is very noticeable to me and whether I can hold and use the phone comfortably in one hand.2. It's also amazingly thin and light for the amount of battery power and life you get. I spent all kind of time playing with it and downloading new apps and it still had 60% battery life. Very nice. Time will tell how soon it need battery replacement, something that's been a big issue for me with my iPhones, how soon they seem to go bad.3. If you haven't had wireless charging before, you will LOVE it. I almost never have to plug my phone in having wireless charging pads or stands wherever needed. The reverse charging is a nice option although I didn't get my free buds yet so haven't had a chance to try them out but I've had other wireless buds and they always seem to start having issues fairly quickly for the high cost. If you are single like me, the ability to charge another phone isn't all that helpful but for families it may be a really nice plus. It does also mean you have to be careful about the case you get if you want to make sure it works with this feature. Ones that support wireless charging are NOT necessarily going to work for the reverse charging.4. Lots of great camera options and of course, FIVE cameras (3 on the back, 2 on the front). This was a big reason I got this camera, and it's a lot of fun to play with them, but see the Cons for my experience with them. Super slo mo video is also very cool to play with. Coming from an older phone, the options here are a joy, particularly the Pro mode. In the past I've had to use other camera apps to get even close to what the Pro mode can do.5. Android OS and Samsung's version in particular is awesome for power users like myself that love to tweak everything. Coming from an iPhone it's a joy to be able to customize my phone so much. I particularly appreciate the one-handed features when using a large phone like this (but see the cons list again).6. Lots of security options in terms of how to protect your phone. Face ID is a fast way to unlock the phone but easily faked, so not very secure. I've had issues with it in the past as well when the lighting is not good. The new fingerprint scanner is supposedly very hard to fake and works in lots of conditions.7. Plenty of space with 128 gig memory to start with, and it has microSD which is nice if you want to load up lots of music and video for a trip (not so much for everyday use). I also LOVE that it still has a headphone jack. The ability of the phone to recharge headphones is nice, but there aren't many that will work with it yet and nothing sucks more than your BT headphones dying and not being able to plug in a backup set of normal ones.Cons:1. The design of the phone is pretty blah and it's super slippery. You want to get a case on this thing ASAP. The sensitivity of it all the way up to the edges makes this even more important, trying to turn it from portrait to landscape without a case seems to always cause it to think I'm clicking on something. I really don't see it being usable at all without having at least a minimal case on to hold it with. Also the plastic screen ""protector"" it comes with is not going to do much protecting and is the kind that is easily rolled on the sides when trying to get the phone in and out of cases.2. Which brings me to con #2. The fingerprint scanner. This was touted as such a huge breakthrough but seems a step back to me from having used scanners on the outside of the case or in a button as they were on my iPhone. First, there's nothing to help you feel for where to put your finger, no haptic feedback or anything to give you help with getting your finger in the right place other than the visual pseudo-button on the screen, and the messages that come up to tell you it couldn't read your print are SO ridiculously tiny and hard to read. You have to press quite hard on the screen, maybe eventually I'll get the hang of it but right now it's constantly telling me to press harder. I've never had that issue with normal scanners. It also makes using glass protectors on the front FAR more difficult as many will render it unusable.3. For as much as the wide and tele lens are touted by Samsung, the quality of the images you get with them are pretty sub-par. At best, you can get semi-decent photos outside in excellent light, but compared to the primary lens, particularly for indoor shots the difference is very obvious. Likewise they talked about having a ""night mode"" that would rival the quality of the Pixel 3, but it's nowhere close. The pictures are far too soft and clearly not using the kind of HDR that Google is using in the Pixel to produce such good low light shots. Outside in bright light shots tend to have blown out areas still. I also get frustrated at how only the normal photo and video modes will allow you to use the wide and tele lens (Pro and super slo mo for instance will not), and how much you have to let the camera control what's happening such as using scene detection (vs. being able to set the type of scene myself). Granted it's still a BIG improvement having a Pro mode at all, but there's still more I want to be able to do. They still seem to think throwing hardware at us will suffice without addressing the software side, but for top-quality photos, the Pixel 3 with its one lens is still going to win out in many situations. Likewise the additional front-facing lens for selfies. I'd much rather have had the wide-angle view the Pixel 3 offers vs. using up space on the front just for a camera to help blur the background. Do they even bother to ask users what they most want?  Luckily the folks at Moment support even these new phones with their great professional addon lens, so I'll be upgrading my kit for their new super-wide angle and tele lens as certainly the performance from the main lens with its adjustable aperture is quite excellent. But I'm glad at least to have the additional lenses built into the camera to use when I don't feel like carrying the extra lenses with me, as I usually don't in my daily routine. But if only Google could deliver a phone that isn't sub-par on battery life as the Pixels have been, they would probably pull even more customers like me over, but as much as I care about my photos looking awesome, I've had my share of having to carry battery chargers around all day to deal with phones that die out too quickly.4. As much as the OS gives me some good one-handed options, the hardware design seems to completely ignore it. WHY are the buttons so freaking HIGH on the phone?! I've used an S9 and don't recall it being this bad. The power button (which doubles as the camera button on a double press) is particularly frustratingly high. The volume toggle as well, virtually impossible to reach without using the other hand.5. There's still some things about the Android/Samsung OS that I find baffling and frustrating. At times I get lost trying to find my way back because something I did sent me off somewhere else. A number of times I've ended up in the Animoji section of the camera app and couldn't figure out how to get back to the regular camera. Far too often it relies on dragging or other screen gestures when a simple menu option to switch screens would be so much more user friendly. Likewise how confusing it is that the Bluetooth setup shows me all these Mac IDs of devices I can't connect to. It's almost comical what that screen looks like in a large gym these days. Why not just show me the ones I *can* connect to? It's definitely not always easy to use a really feature-heavy device like this and not sure I'd recommend it to less experienced users.6. Likewise between all the stuff Google wants to control and Samsung loads on the phone, I feel like I'm turning over my entire lives to these companies privacy wise. I quickly switched it over to using DuckDuckGo for web searches and use other privacy features, but it's concerning how much access these big companies want to what you do on your phone. Samsung does provide a VPN service on the phone you can use as well to help keep your activity secure, but do I trust they are not using that to track me? Given what companies like Facebook have done when people give them a phone number to enable 2-factor auth, I'm not sure I trust any of them anymore.7. Price. We're in iPhone range now with this phone. It's clear that Samsung is justifying pushing the price up with additional hardware features like the improved screen, more storage, in-screen fingerprint scanner and extra cameras. Some are definitely a step up, but others, like the scanner and sub-par cameras, not so much. Some like the reverse charging may in time be more beneficial than it likely will be for most people initially.Overall, this is still a REALLY good phone. However, if you are happy with 64 gig, I'd probably recommend getting an S9+ and saving a good bit of money. There's really nothing on the S10+ that is so much improved that it's worth hundreds of dollars... and some things are a bit of a step backward IMO. However if you really want 128 gig, this phone is worth the relatively small additional bump in price over an S9+ with comparable storage.
            "
"2","Amazon had fast & safe shipping...kudos to them, they did their part. Samsung created a great phone with this one. Snappy OS system, camera is great, battery seems good, I have been downloading and using the camera and battery is draining like any other phone under heavy use. I do believe that the battery on this unlocked version will be better than a carrier version...there is no bloatware running in the background. The screen is just...the best I have ever seen. Size, I like the 10+ size, Its big..I have gym shorts and when I sit...It's poking out the top big. Decent weight (you know its there) so far so good.NOW, a couple things with the phone and the pre-order fiasco,1. The phone comes with a screen protector on it already from the factory, so save your money.2. It does not come with a Sim Card, depending on your situation, you may have to go to your carrier and ask them for a new Sim card...because your old one might not be compatible. (I had to take it to sprint, they gave me a new sim and activated it)3. Do not freak out at the little grey bar on the extreme right,(in the middle past the curve) bezel. Those are not dead pixels, thats the mini menu/quick access thing. Hold and drag left to show the menu.4. The Earbuds situation, I pre-ordered this phone in late February, on this website. I saw an ad on here that said I would qualify for the earbuds. I called Amazon, the rep said ok, he will call Samsung and get the details. I said ok, he called me back later and said ""  log into the Samsung shop and redeem for your earbuds "". He was right it worked, so download the Samsung Shop app, and put in your information and you have to send proof that your pre-ordered before March 8. I took a screen shot of my Amazon page order details.Ok, so thanks, and if your Samsung, ill take a wireless charging pad if you got one laying around you dont need anymore.
            "
"3","I've been using the Samsung S8 for the past two years without any major issues. So I decided to purchase the S10e since it was about the same price I paid for the S8. But after using the S10e for a few days, I don't like it as much. First off, the pixel density of the S8 is about 100ppi higher. Some may not notice a difference, but I do. Small text looks ""out of focus"" on the S10e, but is sharp and clear on the S8. Also, the front camera ""hole"" is a constant distraction when using the phone.The second issue with the Always On Display does not turn off if the phone is in your pocket, and keeps using the battery. From what I've read, this is a ""know issue"" on all S10 models, as the proximity sensor does not work properly. On my S8, the Always on Display turns off in my pocket or if I place the phone screen-down on a table.Lastly, I'm really missing the LED Notification light. All my previous Samsung phones (S and Notes) had the LED Notification, as it was easy to tell from a distance if there was a missed call, new message, or E-Mail. But with the S10e there isn't a notification light that keeps blinking, so I'm always having to checked the Always On Display for new notification.At this point, I'll be returning the S10e, as it feels like a downgrade from my S8. Even if I went with the regular S10, it would have a higher resolution screen like my S8, but would still be missing the LED Notification light and the Always on Display would stay turn on inside of a pocket using the battery. Maybe I'll go with the S9, or LG G8 when it comes out.------------Update:After owning the S8 for the past two years, I first got the S10e and didn't care for it, and exchanged it for the regular S10.I do like the S10 more than the S10e. But with that being said, it's not a huge upgrade from my S8, and is actually missing features.First off, the ultrasonic fingerprint reader on the S10 works about 50% of the time. I even registered my right thumb as Finger 1-4, and it still has issues reading it. The face detection does work (in good lighting) but isn't as secure. What was best was the Iris Scanner on the S8/S9. It was fast, accurate and secure.Next, there is no LED Notification Light on the S10 series. This means you can't easily tell if you had a call or message by a flashing color light, and instead you are dependent on the Always On Display that you have to check. I really missed the LED Notification light when using the S10 and found myself always checking the phone for missed alerts.Now for the good...The screen on the S10 is a modest step up from the S8. I'm not fond of the camera hole, but did get use to it. The Cameras also took good quality pictures, and I'm glad to see a dedicated wide-angle lens (like my LG G5 had). Call quality was good, signal reception seemed OK. Battery life was better on the S10 than my S8.Right now Samsung is selling the S9 for under $350, so I may upgrade to that from my S8, since it still has the LED Notification Light and Iris Scanner.
            "
"4","I am a straight talk customer making the big plunge from an iphone to an android. I expected to lose all of my stuff because of this change but was pleasantly surprised by the Samsung S10's ability to back up all of that information. This was an easy transition to a great phone.
            "
"5","I bought this phone and it came in its usual packaging but not factory sealed. Just a yellow sticker. During setup, everything was in Spanish and I switched it to English and followed through with the setup. Even after setup, many apps were in Spanish. I put my Straight Talk SIM card in and nothing. I couldn't text, call, browse, etc. I'm pretty sure I was sent an International phone. I also kept getting a message that said ""Open channel for BIP"". I had no issues with my Galaxy S9 Plus. For $999, you'd think they'd sent the right product. It's a shame because the phone I ordered was beautiful but useless.
            "
"6","So I bought my phone from another seller who was prime eligible in order to save money on taxes (buying from Amazon directly wanted me to pay almost $100+ making this phone over $850 for the 10e)The seller was very responsive and did give me the 10e like I ordered however, I belive this phone was intended for a Mexico or South American market and not the North American market.I have cpu-z installed on my phone which allows me to examine the hardware on the phone and instead of getting the new snap dragon 855 processor this phone has Samsung processor the exynos 920 processor which is anywhere from 5 to 20% slower depending on the applications used. It can even be slower than last years snapdragon 845 processor in certain video rendering tasks. This is incredible disappointing for me however it did come with a couple of items that did make it a little bit better to swallow such as a free 128gb microsd card and a free case (not sure if that's standard or not) which was a nice touch.Let me be clear this is still a fantastic phone and a great upgrade from my lg G6. But I wish that I had the snapdragon phone instead of this exynos one just for longevity sake. The extra goodies though do make it worth it for me to keep the phone instead of exchange it and reordering from Samsung directly. Plus I don't edit videos on my phone directly so the weakest performance sku doest really affect me too much.I gave it 3 stars just becuase I felt a little decived for paying full price and getting the slightly inferior phone. I also have concerns if Samsung will honor the US warranty coverage the product page advertised.Overall just be careful who you buy from.
            "
"7","I had a few questions before per-ordering the ceramic white ceramic version of the Samsung S10 Plus that were difficult to answer using the marketing material alone.  In particular I was wondering about the physical appearance of the ceramic white S10 Plus.  Well, I received the phone now, so I thought I would drop into Amazon and comment on my first impressions.  Maybe someone else has similar questions, so hopefully this is helpful to someone.Question:  Does the metal band around the ceramic white version of this phone have a rose-gold tone?Answer:  It does has the very slightest hint of pink in the metal.  But let me emphasize here that it is very subtle.  At first glance it looks silver with no color, but when examined closely a hint of warm color can be detected.  And let me also emphasize that it is beautiful!  The contrast against the pure ceramic white back and the clear glossy black front is perfect.  Concern yourself no longer, this is the color to get.  Also keep in mind that all other S10 models have the pure silver band, this is the only version that provides the slightest warm tone to the metallurgy.Question:  What's the deal with the black Samsung S10 Plus S-View Flip Cover, is this official case worth it?Yes, it is worth it.  This black case keeps the phone almost as slim and low profile as having no case at all.  The cover is translucent but appears opaque.  The S10 Plus can detect when the cover of this case closes and then goes into AOD (Always On Display) mode.  This allows the cover of the case to operate like a screen when desired (while still keeping core functionality locked).  When shut, this glossy black case looks almost identical to the phone without a case - the surface is smooth and reflective just like the actual screen, and the touch sensitive isn't degraded through the material.  It also wirelessly charges through the case without trouble.The results of combining these two products - the white ceramic S10+ with the black S-View cover - are impressive.  The case raises the back ever so slightly so that the camera bezels do not touch the surface it is laid upon.  And the black color blacks-out the white ceramic back so that you can maneuver through your day keeping a low profile - a white phone reflects more light and draws the attention of others much more than a black phone - so the case is camouflage for that gorgeous white ceramic.  Even with the case installed, the subtle warm silver bezel is visible at the bottom, the power button, and the camera bezel - and this warm metal against the black case is super cool!So there you have it.  I'm sure others will write all about the latest technical goodies that are also included, but maybe this review proved helpful to someone interested in the visible aesthetics.  The ceramic white with the black S-View case is highly recommended.
            "
"8","Product was opened beforehand and had a yellow sticker on the item......NEW IS NEW and this was not new. It also had a bunch of Spanish and I had to convert it to English so I believe I got an international version. Definitely a way to do business since I notice many other people experienced the same issues.
            "
"9","Just got my s10 plus today. Opened it up and was looking at the lenses and theres bubbles under the glass.
            "
"10","This is international version it is EXYNOS not SNAPDRAGON! I had to return.
            "
