"","x"
"1","Phone constantly crashes. Battery is junk. Sold me a piece of junk and I want my money back. Don't buy. Spend the extra cash and go through a decent company
            "
"2","I bought 2 iPhones with this seller, both have problems and I can't return them.
            "
"3","I bought this phone in July 2016.  As of this past week, it has stopped working altogether.  I contacted the seller for assistance, and because more than 90 days had past - there was nothing they could do.  I tried working with Apple to troubleshoot to no avail.  I'm not even able to restore the phone to factory defaults using iTunes because of the error messages.  Right now, the phone won't even turn on.  At the time I purchased the phone, it was listed as a ""certified refurbished"" product.  After paying nearly $400, I would like to think that the phone should last at least a few years.  I just purchased a brand new iPhone directly from an AT&T store and hope for better luck.  I will never trust ""certified refurbished"" again.
            "
"4","The cellphone is broken and the battery is old when the technician open it up to fix it. Super bad experience
            "
"5","I bought the phone in December 2016 and it is now April 2017 and Apple informed me that the battery has reached the end of its life and they are charging me $80 to replace it.
            "
"6","Like many have already written, you take a risk with refurbished. I've never had an issue before, but this is the first time an iPhone has given me issues. Right after the warranty ended, the iOS starting causing problems. The phone randomly opens apps and periodically shuts itself off.The battery is the biggest issue. It needs to be charges 3 or 4 times a day. I literally walk around with a powerbank to keep it from dying. It will lose 50-70% of the battery within 30 minutes. It does charge quickly but it dies just as fast.Cosmetically the phone was perfect. No dents or scratches, but the battery issue is extremely frustrating.
            "
"7","Purchased phone.  Took to both Apple and AT&T. Something is wrong with phone.  Called twice about the issue , got voice mail each time. Hours say 10:30- 4:30 Mon-Fri. Still no response.  Absolutely horrible.  Buyer beware !!!
            "
"8","I like apple. I like text replacement and certain apps I am able to get. I DO NOT like receiving a phone I paid so much for that DOESNT EVEN WORK AS A PHONE. I didn¡¯t order an iPod Touch. I ordered a phone. The caller cannot hear the recipient and the recipient cannot hear the caller. The touch screen is faulty where you have to keep touching to make something work. It will only stay connected to metro for a short time and so if I go anywhere other than home this little box is useless. To top it all off I work off my phone, and I¡¯m losing time because of your carelessness.  I¡¯ve never had trouble with phones from Groupon. Don¡¯t put a ¡°certified refurbished ¡° ticket in boxes if you have not tested the product personally. I¡¯ve never been so mad. I love amazon but you can probably guess you won¡¯t be receiving $13 a month from me anymore.The man I spoke to last night barely spoke English, didn¡¯t are about customer service, but um hi, without us customers y¡¯all would not be getting paid. You should consider treating us better with care and products that work.
            "
"9","Honestly, I'm pretty satisfied with this product. Despite the negative reviews, I took a risk and found myself in a happy place. My phone came safely. There were no visible scratches or whatsoever on the phone. The only disappointment here is that the phone I received was a China model, therefore, my phone had camera shuttering sounds even when the ringer was turned off. Overall, I'm have no regrets on this purchase.
            "
"10","This POS phone had a broken Wi-Fi antenna. I set it up before I left the US but didn't realize that the Wi-Fi only connected because I was in the same room as the router. I put it back in the box and into my luggage. When I got back to Vietnam and gave it to my girlfriend, she had problems connecting to Wi-Fi almost immediately. After a month of hearing about it, we took the phone to an Apple-authorized repair facility where they told us that the case had been almost imperceptibly bent and the Wi-Fi antenna broken. I cannot return it because I'm still in Vietnam--it's sitting in a drawer where it will stay until we need to scavenge it for parts. If the vendor is really certified to refurbish, they should have known the Wi-Fi antenna was broken.
            "
