"","x"
"1","You're probably reading comments all paranoid like I did. Lol. This is a positive review. I LOVE IT. Looks brand new. Works fast and great. If you have any questions about my experience you can contact me at my Instagram @abenaasf
            "
"2","Poor quality control. It was wiped, but was still registered to the prior owner. I contacted the seller (Breed), and they would not replace for another unit. I would not trust this seller.
            "
"3","So I purchased two phones from these guys, noting mostly positive reviews from their previous customers.  Both arrived in really good shape and appeared to work properly.  However, while one of them has had no issues, the other one has had intermittent reception issues and now will not hold a charge.  Clearly the device has some problems and now needs a new battery.  I purchased these less than 6 months ago and got Square Trade warranties, which unfortunately do not cover battery replacement. The seller only offers a very conditional 90 day warranty.  The moral of this story?  Sometimes you get a good phone and sometimes you get a piece of junk.  Buyers beware!
            "
"4","So I thought I¡¯d wait a bit after my purchase to make a review about this product because I know some things can happen later on and I didn¡¯t want to regret rating incorrectly.For starters, the product came exactly when it was supposed to. A+ for fast shipping. I was excited to receive my package but a little disappointed that they¡¯d just left it in front of my door. It¡¯s a good thing I was able to be home at the time and expecting it. I thought since it¡¯s a phone, they¡¯d want a sign off.Anywho, after opening I started to inspect the phone. The screen and back appeared to have some white smudge marks on them (I still have no idea what they were) but I was able to clean it with an alcohol wipe. There also appeared to be something white completely covering the speakers and inside the charge port which put me off a bit. I became worried.Since I¡¯ve received the phone, the performance has been normal. No shutting off randomly, no bugging, nothing a phone shouldn¡¯t be doing. It¡¯s been performing completely normal as it should be and charging at a pretty good speed, especially since I use my phone for work and play. The only complaint I have there is the speakers, which don¡¯t appear to sound very loud. Speaker phone doesn¡¯t really help with that either. The camera works well and so does the flash. No worries there. The phone was unlocked as stated and I was able to immediately connect my phone service with it.I haven¡¯t dropped it yet (knocks on wood) & hopefully I won¡¯t ever. The 6s has been my favorite version since it came out.For the price of the phone, the overall of it is great. I would definitely recommend it to others and hopefully you¡¯ll all get the most out of it. As for any iPhone, I also recommend purchasing a shockproof case at the same time of your phone purchase.I hope my honest review helps any others looking to buy their phones online.
            "
"5","It was good and perfect for a week, and the battery died and it never turned back on, i am very disappointed i want a refund
            "
"6","The device is not unlocked for international use, it is unlocked for only US network carriers, i had to pay $70 to get it working in My home country. overall the phone is awesome, its new and does not have any wear or scratches on it
            "
"7","Phone is in perfect cosmetic condition. No knicks, dings, or scratches. Screen is also perfect (no scratches, dead pixels, etc). Phone performs perfectly as well. Buying refurbished can be nerve wracking but this seller did not disappoint. Thank you!
            "
"8","I brought my iPhone 6s from seller Chubbiestech. The only negative thing I would say was I ordered this phone with express 2 day shipping but I didn¡¯t get in until my third day. I ordered the phone Wednesday expecting it to come Friday but it arrived Monday.None the less, this phone is awesome. Just because I received this phone after 2 days late, the phone itself outweighs my only con. This phone was totally unlocked. The description says only GSM unlocked (AT&T and T-Mobile) but my Verizon prepaid service (CDMA) works perfectly fine with this phone. I thought I would have to switch my service but I¡¯m glad I didn¡¯t have to. It was very easy to set up and this phone damn near is brand new. There¡¯s is only one little nic on the top gold part but when you put an case on it, it will hide it all.This phone came with a generic usb charger, car charger price, phone case, sim opener, and my phone came with a screen protector already on.I highly recommend buying from Chubbiestech.
            "
"9","It was locked and under some one's contract with an unpaid bill.I didn't like it - complete waste of time
            "
"10","The phone lasts less than 12 hours after 20 minutes of talk, a handful of texts, and a small bit of web browsing. wifi and bluetooth are on. For comparison, with my old iphone 6, that's at least a year older than what this outfit sold me, in the same environment and settings, I get close to 24 hours.  I contacted customer support and they said that's not a problem for them, they test only for it to last 10 hours. They offered return and refund, but this is wasting my time. I offered for them to instead pay for the $29 Apple battery replacement offer, but they declined. Considering that I'll replace the battery anyway if I get a different refurb'ed phone, I'll keep this one and get the battery replaced in a few weeks once I know the unit is otherwise working well, since MyWit support said if I have Apple replace the battery it'll void their warranty.
            "
