"","x"
"1","Ordered 2 and one is perfect condition just like new! The other one has 2 small scratches on the side. 1 month after use, the screen on one side is darker... and my boyfriends phone cracked by just being in his pocket. Don¡¯t buy this phone, spend a little more for brand new.
            "
"2","HONESTLY, i really was indecisive reading some of the reviews on here. Some were great and others not so much. I order my Iphone 8 Plus from ""My Wit"". It came faster than i expected  AND Its like in perfect condition. Works like its brand new, sim card synced perfectly. I have Family mobile which is similar to metro PC etc. If youre going to buy this item buy from MYWIT you wont be disappointed. If i can edit this post ill post pictures later
            "
"3","I love this phone!! Reviews were a bit bias but it works amazing! Came in a white box with an adapter, usb cable and the phone. Runs smoothly & efficiently.
            "
"4","This phone works amazing. No scratches or dings when i got it. Only thing was, it doesn¡¯t come with headphones or a dongle. And the charger they gave me was not working at all. I tried different outlets, different power blocks, and even a different cord to make sure it wasnt the phone. So definitely expect to buy ALL your own attachments
            "
"5","Perfect condition and as described
            "
"6","I love it! Actually better than I expected! And yes it works with Metro PCS
            "
"7","Beautiful and exactly  like new.  I prefer refurbished because the phone goes through more rigorous testing than the brand new ones.Gave this phone to my son for his 2nd MBA graduation and he loves it.  Says it¡¯s super fast in every aspect.  Guess so because he went from an iPhone 5.
            "
"8","Traveling without any worry of not having any local communication is a great plus having this phone. Just buy their sim card and your done. If you use the USA sim then you will be charged very large (international calls) but if you buy the country (where you are going) sim card (switching your sim card to local sim card) will be a big plus to you.
            "
"9","Lo compre con miedo a recibir algo danado o mal reparado, vino en ina caja normal y con un cargador normal,la vida de bateria estaba al 90% y venia con vidrio templado ya instalado.Por el precio y el envio rapido obtuve mas de lo que pague.Muy satisfecho con la compra.Puse mi sim card (soy de un pais fuera de USA) y reconocio mi linea sin problemas.¢®Muy recomendado!
            "
"10","Purchased this with the intention they were refurbished... but instead is just a repackaged used phone.  The screens are scratched and one has a nice gouge.  For the price they should have replaced the screens.  These are not refurbished phones.  If you need a fully refurbished phone, looks somewhere else.  They do come with a third party cable and charging adapter.
            "
"11","Phone was completely defective. Had a hard time to switch on the phone. And once it was switched on, it got restarted every 2 min. Wasted full day on this phone. And now, it gets to old situation again where the phone is not able to switched on. Don't know why the phone was not tested. Since it is refurbished phone, it should be tested more for any defects.
            "
"12","Product came with a functionality issue. The phone would cut my voice in and out as I was talking to people. Eventually the phone became useless and it was returned.
            "
"13","It worked perfectly no scratches or dings. It even came with an already applied screen protected! The charging cable and block work perfectly and it isn¡¯t slow or glitchy. You wouldn¡¯t even know it was refurbished except that it didn¡¯t come with headphones or an apple box which is fine with me
            "
"14","Good condition. All around great
            "
"15","So far is working great. Pretty much like a brand new iphone out of the box.
            "
"16","Love my iPhone 8plus! Could not connect to boost mobile. Connected to metro pcs works great
            "
"17","Me encanto! Esta como nuevo, todo funciona a la perfeccion. Lo uso en Ecuador sin ningun problema.
            "
"18","Well first of all, the item arrived 5 days later than expected.. when I finally got it I found out the phone has an iCloud lock and it turns out I have to pay more to unlock it... till this day I don¡¯t know if the phone works or not because my iTunes cannot activate it. I have Tmobile and ATT cards which specified that it would work with I don¡¯t know if it¡¯s a sim problem or iCloud problem like most people and researc tells me.Total Scam.
            "
"19","The phone had came scratched from the back, less than half battery, and a weird ¡°cube¡± to charge (that looks very cheap) but overall the phone looks like it works. I will give updates if it stops working.UPDATE: I TRIED TO CONNECT IT AND THEY SAID THE PHONE WAS STOLEN!!!
            "
"20","My daughter  love her phone the 8+ was in good condition no scratches no crack deliver on time  it work goodthank u D'Tech Mobile
            "
"21","<U+00A0>Pedi un iPhone 8 Plus y me llego el iPhone 8 normal <U+0001F621><U+0001F621>
            "
"22","The phone arrived on time and was packaged well. This phone was for my son, and he says it works great. The only complaint is the screen had scratches on it and that's the reason I gave it four stars. Everything else is great.
            "
"23","I LOVE THIS PHONE! It came with no scratches or marks and super clean. When I unboxed it had a key for my SIM card slot and my phone has a glass screen protector already on it. Put my Straight Talk SIM card in and immediately got service. Couldn¡¯t have asked for a better phone! Perfect condition and was worth every penny!
            "
"24","Maximum capacity show 88% very disappointing.may have to have the battery replaced sadly. Other than that seems to be in very good shape. Came with a screen protector already on it and small scratched on the bottom near the speaker. After some use noticed when watching Netflix the image in very blurry. Sending the phone back!! I would not waste money on something like this again not worth the 500$ headache
            "
"25","I love my new Apple iPhone 8 Plus. It is a Great phone at a Great price! The only thing that I dislike is that there is a tiny scratch on the glass at the bottom, but since it is refurbished I cannot expect perfection! It is easy to use so far and I also got a shock proof case to help protect it from getting damaged. I made the switch from a Samsung to an Apple so I am still getting used to the changes, but so far, so good!
            "
"26","Everything worked great, except I bought two phones. One phone was like new, but the other phone had a battery health of 80%. Very disappointed, and would buy from another seller in the future.
            "
"27","This thing is great - more polished than the newer iPhones with a more reasonable price. Storage is ok, kinda wished I had gotten the 256gig even tho I don¡¯t really need it.
            "
"28","No me agrado el producto, tenia severos danos en el marco, golpes y scratches.Se supone viene restaurado con buenas prestaciones esteticas. Muy mala compra.
            "
"29","It can be scary to purchase such a big item online used n refurbished but this phone was absolutely better than expected! Exact same as a brand new one n the process of setting up was exactly like buying one straight from Apple straight outta the box! Will always buy my phones from this seller! Thank God for honest n good sellers of electronics like this seller! So very very happy with my phone! Thank u!
            "
"30","Fast delivery and shipping.  Satisfied product condition with 93% maximum battery capacity when it is fully charged.
            "
