"","x"
"1","Wireless-Globe,I was purchased 1100$ for IphoneX.But I got defect IPhone X.It doesn't receiveing the incoming call to my IPhoneX.Please tell me how can i refund this productand my money.Thanks,
            "
"2","The screen was cracked and the phone did not turn in after 24 hours of charging.
            "
"3","This refurbished phone was sold by Magic Mobile Partners. They replaced my phone screen with some junk third party one that had a defective backlight. These are two identical used iPhone X¡¯s Side by side running the same backup of my phone so the settings were identical. Verified under control center brightness, True Tone, night shift, and display accommodations. This was not a setting. These guys wasted my time and money. Buy elsewhere.
            "
"4","There is the phone that is all. No headphone, no original charger, no original box. I felt kinda scared.
            "
"5","This product is falsely labeled as unlocked, it's been 4 weeks since I informed that the phone was still locked and all I get are excuses.Plus, the phone came in a really bad condition, so many scratches you can see them very clearly.
            "
"6","I love it! It looks just like brand new and everything works great. My international SIM card worked perfectly! I'm really happy with it.
            "
"7","Phone is basically New, everything works, no scratches or anything, fast delivery. Very satisfied !!
            "
"8","Works well.Came with a good bubble wrap protection.Accessories are not original, came with power lightning cable and USB charger.
            "
"9","Phon with a lot of scratches and don¡¯t switch on
            "
"10","all right, phone is new, I recommend them, thanks
            "
"11","Really nice phone, smallMinor scuffing by the power button but it¡¯s in excellent shape. Worked great going from older iPhone SE on T-Mobile. Took out SIM card and put in new device and worked automatically.
            "
"12","I got the phone it came it a sketchy box and only with a charger and some paper. with a funky wrap around it. I got it out and it barely had any charge on it so I had to charge it before setup. once I got halfway threw the set up it turned black and said it was to to hot to function when it defiantly wasn't hot at all this was very disappointing. over all, after set up its a nice phone just couldn't get over the repetition of the same problem and so I had it refunded.
            "
"13","The screen of the iPhone has a lots of scratches. I removed the screen protector that the seller had put on it and found out about the poor state of the screen. Refurbished means that product has been renewed, so a screen without scratches would have been much appreciated given the high price tag!
            "
"14","This phone is as good as new. Everything works perfectly. It came with the charger as well.
            "
"15","The device doesn¡¯t support LTE plus poor housing box it arrived in. Other things works fine. Breakdown of the price is necessary for what I received <U+0001F915>
            "
"16","Wow! I really thought that this could go south, however, once it arrived it was working as a brand new iPhone, luckily I had a key to open the SIM tray, otherwise I would have had a hard time finding a way to open it. It's been now almost 3 weeks since first started to use the phone and not one trace of a damage or defect has been found and I like all of the features it includes. Kudos to the seller Electronic Deals who sent this one like new and made me happy for the upgrade from iPhone 6 to iPhone X.
            "
"17","+The exterior of the refurbished iPhone X I ordered was just like new!  not a single scratch!+I live in Germany and this unlocked phone worked flawlessly with the German network.+It came with the front protective glass screen already installed.  Nice touch!+It also had (aftermarket) charger and cable.-The max battery capacity is at 94% when compared to a new one, but I guess that is somewhat expected for a refurbished phones
            "
"18","I was a bit hesitant to order this phone because I've never ordered a phone from a retailer instead of the company itself. It arrived on the date predicted and I've had it for about three weeks now. It showed up in a plain white box in a bit of a dirty envelope but the phone itself was fine, it didn't have any scratches or dents or anything. Managed to set it up with my service provider that same day. It turned up with about 20% charge, a charger, and a SIM card pin. I recommend order headphone jack adapters or lightning headphones before you get this phone, if this is your first time using an iPhone like me. All things considered, a good purchase.
            "
"19","Apple X, cant say enough. I purchase this phone used and unlocked for $850. the phone screen came fast but was blemished or scratched under screen protector. I don't really care. Good phone. Don't buy phones from bit phone companies.  They swindle you out of $1200 for long pay.
            "
"20","Arrived faster than expected. The set up was very easy. Product looks and functions like new. No scratches or dents. Just be careful from what seller you buy from. I got from BUYSPRY and I have no complaints.
            "
"21","No scratches, works great, would recommend
            "
