Date,Open,High,Low,Close,Adj Close,Volume
2014-05-16,79200.000000,79200.000000,79200.000000,79200.000000,79200.000000,0
2014-05-19,78600.000000,89100.000000,78600.000000,86000.000000,86000.000000,235471
2014-05-20,87900.000000,90500.000000,80000.000000,80000.000000,80000.000000,172018
2014-05-21,83600.000000,84500.000000,81100.000000,82600.000000,82600.000000,157834
2014-05-22,80400.000000,86000.000000,75100.000000,82900.000000,82900.000000,654460
2014-05-23,83700.000000,84300.000000,77000.000000,77000.000000,77000.000000,412973
2014-05-26,76400.000000,78000.000000,71700.000000,73500.000000,73500.000000,452255
2014-05-27,74200.000000,76700.000000,72700.000000,74000.000000,74000.000000,331962
2014-05-28,73300.000000,76700.000000,72500.000000,73400.000000,73400.000000,242398
2014-05-29,73800.000000,74200.000000,70500.000000,71500.000000,71500.000000,227209
2014-05-30,71800.000000,74000.000000,71000.000000,72000.000000,72000.000000,273079
2014-06-02,71100.000000,71400.000000,65200.000000,66300.000000,66300.000000,264012
2014-06-03,72000.000000,74300.000000,66000.000000,66000.000000,66000.000000,654032
2014-06-05,64000.000000,68800.000000,63400.000000,63500.000000,63500.000000,198101
2014-06-09,64500.000000,65000.000000,61000.000000,62100.000000,62100.000000,150754
2014-06-10,62600.000000,65700.000000,61500.000000,64500.000000,64500.000000,228694
2014-06-11,64700.000000,67700.000000,62600.000000,63300.000000,63300.000000,244510
2014-06-12,63800.000000,64400.000000,62600.000000,64400.000000,64400.000000,79295
2014-06-13,64300.000000,64400.000000,62500.000000,62700.000000,62700.000000,85147
2014-06-16,62700.000000,63100.000000,61400.000000,61400.000000,61400.000000,69717
2014-06-17,62100.000000,64000.000000,61700.000000,62400.000000,62400.000000,128184
2014-06-18,62900.000000,62900.000000,59600.000000,59600.000000,59600.000000,105916
2014-06-19,60200.000000,61300.000000,59700.000000,60000.000000,60000.000000,86842
2014-06-20,60200.000000,62300.000000,60100.000000,61000.000000,61000.000000,98165
2014-06-23,61100.000000,61600.000000,59800.000000,60000.000000,60000.000000,69632
2014-06-24,60000.000000,63400.000000,60000.000000,62100.000000,62100.000000,99570
2014-06-25,62000.000000,64300.000000,61100.000000,61100.000000,61100.000000,122008
2014-06-26,61800.000000,67000.000000,61400.000000,67000.000000,67000.000000,227604
2014-06-27,66000.000000,67800.000000,64800.000000,66800.000000,66800.000000,215964
2014-06-30,66200.000000,67600.000000,65200.000000,67500.000000,67500.000000,112748
2014-07-01,67400.000000,67800.000000,66200.000000,66200.000000,66200.000000,75405
2014-07-02,66300.000000,67600.000000,65800.000000,65900.000000,65900.000000,83361
2014-07-03,65700.000000,67200.000000,65100.000000,65900.000000,65900.000000,73929
2014-07-04,67200.000000,71700.000000,67100.000000,69000.000000,69000.000000,330500
2014-07-07,69200.000000,69400.000000,67200.000000,67300.000000,67300.000000,83387
2014-07-08,68400.000000,69100.000000,66000.000000,66000.000000,66000.000000,99767
2014-07-09,65200.000000,67400.000000,64800.000000,66200.000000,66200.000000,83043
2014-07-10,66800.000000,67400.000000,66000.000000,66200.000000,66200.000000,48176
2014-07-11,66100.000000,66600.000000,64500.000000,65000.000000,65000.000000,61699
2014-07-14,64100.000000,72000.000000,63700.000000,69200.000000,69200.000000,401789
2014-07-15,69200.000000,71300.000000,68100.000000,70300.000000,70300.000000,145481
2014-07-16,71200.000000,73300.000000,69800.000000,70300.000000,70300.000000,136953
2014-07-17,70300.000000,72200.000000,70300.000000,70400.000000,70400.000000,98180
2014-07-18,70500.000000,73300.000000,69200.000000,71500.000000,71500.000000,186203
2014-07-21,73000.000000,74900.000000,72200.000000,72200.000000,72200.000000,144588
2014-07-22,72300.000000,72600.000000,71400.000000,71700.000000,71700.000000,61360
2014-07-23,71900.000000,73000.000000,70400.000000,73000.000000,73000.000000,84493
2014-07-24,73700.000000,73700.000000,72200.000000,72200.000000,72200.000000,70900
2014-07-25,72400.000000,73500.000000,72100.000000,72500.000000,72500.000000,48942
2014-07-28,72200.000000,72800.000000,70700.000000,71000.000000,71000.000000,60139
2014-07-29,71200.000000,75000.000000,70400.000000,74400.000000,74400.000000,200472
2014-07-30,73600.000000,75000.000000,72700.000000,73100.000000,73100.000000,116868
2014-07-31,74300.000000,75400.000000,72800.000000,73900.000000,73900.000000,114282
2014-08-01,72300.000000,74300.000000,72300.000000,73700.000000,73700.000000,52191
2014-08-04,73700.000000,73900.000000,73000.000000,73300.000000,73300.000000,45599
2014-08-05,73500.000000,73500.000000,72100.000000,72600.000000,72600.000000,56298
2014-08-06,72600.000000,74400.000000,72300.000000,73000.000000,73000.000000,79856
2014-08-07,72500.000000,73600.000000,71700.000000,71900.000000,71900.000000,68062
2014-08-08,72100.000000,72300.000000,70200.000000,71000.000000,71000.000000,62566
2014-08-11,71400.000000,79500.000000,71000.000000,76300.000000,76300.000000,429606
2014-08-12,76600.000000,78400.000000,75000.000000,77800.000000,77800.000000,172630
2014-08-13,78900.000000,79800.000000,77200.000000,77600.000000,77600.000000,132583
2014-08-14,77300.000000,78800.000000,77200.000000,77400.000000,77400.000000,71206
2014-08-18,77400.000000,79600.000000,77000.000000,78200.000000,78200.000000,91902
2014-08-19,78600.000000,79100.000000,77300.000000,77900.000000,77900.000000,60177
2014-08-20,78000.000000,85300.000000,78000.000000,82600.000000,82600.000000,371483
2014-08-21,83600.000000,84300.000000,82300.000000,82800.000000,82800.000000,96752
2014-08-22,83000.000000,86900.000000,81900.000000,83700.000000,83700.000000,195828
2014-08-25,83800.000000,85000.000000,83100.000000,83700.000000,83700.000000,86490
2014-08-26,85000.000000,85200.000000,78100.000000,78100.000000,78100.000000,245465
2014-08-27,78300.000000,79600.000000,74000.000000,75300.000000,75300.000000,171075
2014-08-28,77200.000000,79000.000000,75900.000000,76000.000000,76000.000000,118255
2014-08-29,73800.000000,77400.000000,73300.000000,75900.000000,75900.000000,93210
2014-09-01,76500.000000,80500.000000,76300.000000,78000.000000,78000.000000,103246
2014-09-02,78000.000000,78400.000000,75600.000000,76700.000000,76700.000000,47203
2014-09-03,76000.000000,78500.000000,75600.000000,76600.000000,76600.000000,53149
2014-09-04,76400.000000,77200.000000,74600.000000,74600.000000,74600.000000,56154
