"","x"
"1","I will be utmost honest here. This is my first device review. I was hesitant to order a Certified Refurbished phone. Especially since it is...a phone. The meat and bone of daily life and communication. However, upon receiving the phone, everything was inside a white uniform box. Nothing special and nothing damaged at all. Simplistic and efficient packaging. The phone works great and no one can tell it isn't ""Brand new"". Absolutely no scratches or signs it has been touched by another human. 10/10 item and you save 100$ in the process by getting refurbished! I am switching from an iPhone 6 to this S9 on ATnT. Simply pull the SIM out and insert into s9 and you are ready to go.
            "
"2","The phone itself worked really well and was brand new and has no scratches. Unfortunately it was not truly unlocked and connected to the sprinit network and was not able to change over to verizon. I had to send back but again only because it was not unlocked.  The phone itself was good.
            "
"3","<U+0001F52B>Note: This review will be updated numerous times as the phone ages. And be jealous of my green laser gun.Service Provider: STRAIGHT TALKApple only user (7 years)BACKGROUND: My iPhone 5s went to poo <U+0001F4A9>(For the second time in 7 years I lost an iPhone). Each time the ""geniuses"" told me my phone was not repairable and I had to buy a new phone.  AND both times it was the charge connector that just went completely crap one day.  Great.  Looking back I guess I was part of the many brainwashed sheep with the one track mind thinking Apple leads all.  But in reality, they are stuck in neutral.  Since they lost Steve Jobs, no one has stepped up to be that Willy Wonka of cutting edge ideas and showmanship.  And its blatantly obvious to me now.  Oh and guess what?  They now make the headphones use the same failure prone adapter on all new iPhones (meaning you cannot wire charge and listen to headphones), so I finally decided to stop eating rotten Apples.  And I decided to Hitchhike a Ride on a Galaxy S9.  Now I know you'll say a 5s is older and its comparing apples and oranges (that pun was unintentional<U+0001F92E>...my apoligies), but my friend has an iPhone X and let me try it.  It wasn't that much different of an Apple experience.  And it was 400 more than this phone. (I apologize for my overt digressions, but phones are a huge investment and I try to make my reviews thorough and whatever the perfect opposite of boring is...I hope.)Day 1:  I'm really $%@!$& nervous.  Did I make the right decision?  I'm a textbook overthinker.  I went without a phone for 9 days trying to decide.  And here I am.  Waiting on a refurbished Galaxy S9.  Finally Delivered.  First box is the typical smaller Amazon box.  Second inside is a small white box. Very simple worry-free packaging.  Inside that box was the phone, A/C adaptor, charge cord, and a paper with quickstart and APN help.  Also a card from Amazon saying contact the seller first with a problem blah blah Charlie Brown teacher voice blah blah blah.  So I have made a few certified refurbished electronic purchases in the past and they worked out great, so I was not as apprehensive as maybe a refurb greenhorn might be.  But listen.  Phone is in hand now.  And this phone is stunning.  Immaculate.  I went over it and it looks COMPLETELY brand new.  The screen is perfect.  Don't be afraid.  Jump in the water.  Buy refurbished.  Ok...so here is my first negative, but its petty really.  I bought the ""lilac"" colored phone because I love light colored purples like lilac and lavender.  Only this isn't really either.  I'd call this more of a pinker color with a hint of purple, but its still sleek and nice and can be covered up with a case if needed. Ok so physical condition out of the box I'd give a solid grade A+  Now for the SIM card.  Again I am a Straight Talk user (looooove them...4 years strong now).  My iPhone has been tanked and off for about 9 days.  I popped out the SIM card from the rotten phone, popped out the Samsung SIM tray and dropped in the SIM, pushing the tray back flush.  Powered the phone on.  Without going through every single step, the setup was so easy and seamless.  It automatically found my service provider, so I would say this is pretty much as close to plug and play as you can get.  So awesome.  I am falling hard like Pete for Ariana for this phone...Well...I've been playing with the phone for a few hours now.  I cannot put it down.  So many things are infinitely better than Apple.  I'm going to list a few and stop the review for Day 1.  And if you made it this far, peace and love neighbor.  Happy phone hunting.  You're beautiful<U+0001F31E><U+0001F31C><U+26F1><U+0001F31A><U+0001F31F>1. Customization:  THEMES! I can't stop trying these out. They change the sounds and wallpapers and App icons and probably other cool stuff I don't realize all at once.  They are so cool.  Text messages look different.  And the wallpapers can be animated.  Lock screens can be videos.  I am admittedly geeking a little. Android systems let you change soooooooo much.  And I am a customization freak.  Not only can you choose from hundreds of free and paid themes on the Google Play store, but you can choose from so many different fonts as well (and you can choose from tons for free and money the same way).  You can set the order of so many things, it's just the coolest.  Oh and here is a great one.  For the OCD users like me, who hated when you couldn't delete an apple app, you still have those on Android you cannot delete as well.  BUT YOU CAN HIDE THEM!2. The button clicks are addictive.  It feels like you are pushing a button when its the bare screen.  I have a screen protector on AND and phone case and it's still extremely responsive.3. The swiping motions aren't that different from Apple.  I'm navigating like a pro.  I'm sure there are how-to videos I need to watch to learn all of the shortcuts, but I'm doing just fine.Ok.  Enough for now.  I'm jonesing to play with the phone waaaaaay more.  Ask any questions you want.  I will answer all I can. I will update this review as I see the need.Peace and Love,The Muffin Man
            "
"4","Phone was NOT unlocked and had a defective screen, which kept changing colors (as if the blue light filter was on).
            "
"5","I have not ever written a review but thought this would be helpful after I read the reviews and was a little wary of the unlocked feature.  Some have had problems when putting the SIM card in from a different carrier.  I had the same problem and felt helpless when the Sprint logo launched on my phone when I turned it on.  So after much searching I found sites to send me unlocked codes for a fee of about $50 and thought about it.  (The ""unlock"" feature can apply to international carriers but may still be ""locked"" to a certain carrier).  Sprint will unlock the phone for free if the prior bill and the phone have been paid as well as the phone being used for at least 50 days.  So I called Sprint to get the code and found out that the phone was unlocked on their system.  I didn't need to put in a new code.  I then called ATT and after setting up some menus, I was good to go.  The only hassle I have now is a notification that the phone cannot connect to the Sprint network.  It sits it the top bar when I scroll through the other notifications but is not intrusive.  So outside of doing the above legwork, I'm happy with the phone (4 days in).  It just should be made more clear about the phone truly being unlocked from the carrier and what needs to be done to get on to another network.  It makes it feel a little deceptive in the advertising without this information
            "
"6","About a month after the return window closed, the phone started to randomly shut down and restart.  I did a factory reset hoping that would fix it, but unfortunately, it did not.  There has been a slight improvement (i.e., less restarts), but I'm still having problems.  I'll be taking it into the Sprint store to see if there is anything they can do, but my advice right now would be to pay the extra money for a non-refurbished phone.Very disappointed.
            "
"7","I was kind of nervous buying a refurbish device. After taking a chance and receiving the device, I am grateful I took that chance. So I am posting this review to ease anyone's reservation you may have. My fiance love it!
            "
"8","I should have read the other reviews.  This is not a truly unlocked phone.  It works with my ATT simcard but I get an annoying notification that it can't connect to Sprint and I cannot access visual voicemail.  The charging cable provided looks like it came from a gas station and that it would probably harm the phone.  Although they said it may be a generic charger, i did expect one somewhat in the same neighborhood of quality as the factory charger.
            "
"9","Coming from the S8, it is very pleasing to hold!  It is thicker, so it doesn't seem to be slippery as much.  Truthfully, I bought it for the stereo speakers, but the Dolby Atmos just enhannces the overall sound experience
            "
"10","So I was under the impression I was ordering a completely unlocked phone...instead I received an unlocked Verizon phone with instructions on how to use it for ATT...however the instructions being quite self explanatory DO NOT WORK! I have repeated them to the best of my ability, the only inconsistency I see in the paper and the phone option is for the ATT ""mode"" there is one missing on the phone that is listed on the paper instructions sent with my phone...regardless I feel this is bad advertising...this is not a completely unlocked phone.
            "
