"","x"
"1","This phone is awesome! It came 2 days EARLY and it came with a charger and it came with 38% charge! Now, I read like 100 reviews that it wasn't unlocked, let me clear ALL that up, this phone IS GSM UNLOCKED meaning if you use a service provider such as Metro PCS or T- Mobile or other GSM service providers, this phone will work! Now if you use CDMA network( Sprint/Verizon) it might not work but that is not this seller's fault because VERY CLEARLY STATED in the product description this is a GSM unlocked phone. So don't buy it and expect it to work with CDMA Network and then write a bad review when it doesn't. This phone is certified refurbished through Amazon and it is like a brand new iPhone! Also, if you're switching from 6plus or 6s and below keep in mind that the 7 and up don't have a home ""button"" per say.. like it doesn't push in so the home button is not broken it just doesn't make that clicking sound the older phones make.
            "
"2","No wear or tear at all. Packages nicely, and seems to work as new. Will update.
            "
"3","The phone was packaged nicely and phone was in excellent condition. Phone was GSM unlocked which made it very easy to set my service up on it (MetroPCS). Only thing I didn¡¯t like was it did not come with headphones. Still 5 stars tho!
            "
"4","Fast delivery and arrived in perfect shape.  Two differences between this and a new iPHone... The Cost!  and the word Refurbished.Update... have now bought 3 of them and all were and still are perfect.
            "
"5","The phone is physically fine. It has a software glitch. The screen freezes and might not work for a hour or 2 and starts working. All I want is another phone because I understand things happen. They will not exchange it. 2 phone calls later they said they are sending me return info. 3 days later I have not received it. Do not order from this company. They are 70 dollars more directly from apple and you have no problems. Now I am stuck with a 500 piece of junk.
            "
"6","Product was delivered as promised in excellent packaging.  Phone was in excellent condition and worked beautifully right away.  Easy to activate without SIM card!  Nice purchase!
            "
"7","When i received my iPhone e7 plus rose gold, it was fine for about two weeks... but now it shuts off randomly, and when i take videos they look green as well as when i watch them. i wouldnt recommend buying this product.
            "
"8","This is an amazing  phone there was no scratches or dents I couldn¡¯t believe it was refurbished.It only comes with a charger no EarPods or headphone adapter but that¡¯s fine sense the adapter is $9.Does not come in original box it comes in the sellers box with their branding on it.Their was nothing wrong with the battery it lasts the whole day.I don¡¯t know why people gave bad reviews as this product was in excellent condition and ran amazing so if your thinking about getting this phone get it.
            "
"9","I just received my I phone 7 Plus and the phone do not look refurbished it looks like a brand new phone I am very satisfied with my purchase and I ordered my phone 4 days ago and it came in the mail today it¡¯s definitely worth the price and I transferred my old sim into the phone and it is now able to make calls . I recommend purchasing this phone if you want a great buy.
            "
"10","Review #1 - You take a real chance when you buy a refurbished iPhone. I agonized about this decision, but I also didn't want to spend $1000 on a brand new model to replace my old iPhone 5c.  After doing some research, I selected this 7 Plus from MyWit (seller). The phone arrived via Fedex and was securely packaged. Note, it was NOT in an original Apple box (not an issue for me). They included a cable and charger adapter.  The phone was unlocked as advertised and I had no issues whatsoever connecting to MetroPCS or transferring my data from my old iPhone.  Thus far, I am very happy w/purchase and everything is working as advertised. The phone looks and operates as new.  However, I'm only giving 4 stars right now, because of course iPhone issues don't always arise immediately.  I plan to update this review over the next few weeks for those considering.
            "
"11","for a certified reconditioned phone I am impressed. No dents or scratches and the battery wear level was 3%. Everything works very well. I got stuck with the finger id during setup. Well all i had to do was peel off the plastic cover they put on phone screen which was satisfying to do for some reason. It work very well after that.  I would recommend.
            "
"12","Had this phone for about 4 weeks then it stopped working suddenly and said no service. I have tmobile and it its ""GSM unlocked"" so I dont understand When I looked up the imei it said that my phone was blocked/reported lost/stolen  This is so disappointing because I actually liked the phone. I submitted a return request and contacted the seller. I feel defrauded. Waste of time and money
            "
"13","To be honest, I just received this phone today (which arrived two days early). I inspected the phone and it looks like it hasn¡¯t ever been touched. I thought it was too good to be true. I set up the iPhone and put in a SIM card from an old android I had... still worked perfectly. I had to do NOTHING extra. Literally put in my Apple ID and old SIM card and I was golden. Perfect condition, fast shipping, everything working.... just beautiful. If anything oddly happens, I will be sure to update, but so far, so awesome!!!!
            "
"14","This phone is awesome it works really well my iPhone 6 Plus just gave up on me one day and quit charging or turning on so I had to find a replacement quick and I don¡¯t have 1,000$ to go buy a brand new X model so I did some research and this phone has a lot of bang for your buck it¡¯s features are a little different with no headphone jack and the home button doesn¡¯t press down but I love the phone it¡¯s like having my 6 but an upgraded version of it lol either way I¡¯m content the package arrived just as planned no scratches or damages and I had to contact the seller and amazon with this order and both got back to me within minutes! So iam very pleased with the whole order experience and I¡¯m loving my new phone!
            "
