"","text","Freq"
"1","",16
"2","'잇빨중사'란",1
"3",")단국대",1
"4",")와포자충증(cryptosporidiosis)을",1
"5","abscess",1
"6","AIDS",1
"7","Albendazole",1
"8","americanus",1
"9","B",1
"10","bancrofti)말레이사상충티몰사상충회선사상충",1
"11","bile",1
"12","blindness",1
"13","Cestodes",1
"14","cm",1
"15","C말에",1
"16","diarrhea",3
"17","Diphyllobothrium",1
"18","duct",2
"19","duodenale",1
"20","fibrosis",1
"21","GT",1
"22","haematobium",2
"23","histolytica",1
"24","HTN",1
"25","Iodoquinol",1
"26","japonicum",2
"27","JSA",1
"28","lamblia)편모충증(Giardiasis)을",1
"29","latum",1
"30","liver",1
"31","lumbricoides",1
"32","mansoni",2
"33","Mebendazole",3
"34","Metronidazole",2
"35","m가",1
"36","oral",2
"37","pain",1
"38","pamoate",3
"39","Paromomycin",1
"40","Pinworm",1
"41","Praziquantel",2
"42","Pyrantel",3
"43","river",1
"44","saginata",1
"45","Schistosoma",6
"46","sex",1
"47","solium",1
"48","spp",1
"49","Taenia",2
"50","Tapeworm",1
"51","vein",1
"52","vermicularis",1
"53","Wuchereria",1
"54","가능성",3
"55","가려움",1
"56","가면",2
"57","가설",1
"58","가오가이가",1
"59","가오레인저",1
"60","가이",1
"61","가정",1
"62","가죽",1
"63","가지",1
"64","가치",1
"65","간농양(liver",1
"66","간농양이",1
"67","간문맥(portal",1
"68","간염",1
"69","간질(번",1
"70","간판(?",1
"71","감비아파동편모충가시아메바적리아메바(Entamoeba",1
"72","감시",1
"73","감염",12
"74","감염(fecal",2
"75","감염충[]스트레인",1
"76","강변",1
"77","강연",1
"78","개구리",5
"79","개그",1
"80","개미",1
"81","개발",1
"82","개선",1
"83","개중",1
"84","개체",2
"85","개회충고래회충[]구충(Ancylostoma)갈고리충(hookworm)이라고도",1
"86","갤러",1
"87","거대",1
"88","검사",3
"89","검증",1
"90","겨우살이",1
"91","결과",4
"92","결론",1
"93","결핍",1
"94","경각심(+겁)을",1
"95","경우",31
"96","경제",1
"97","계곡",1
"98","계의",1
"99","계층",1
"100","고기",2
"101","고대",1
"102","고양이",4
"103","고충(스파르가눔)이",1
"104","고치",6
"105","고환",1
"106","곤충",5
"107","곤충들말파리쇠파리이목사면발이이(곤충)노린재목빈대벼룩부채벌레키모토아",1
"108","곳이다보니",1
"109","공격",1
"110","공무원",1
"111","공산주의자",1
"112","공생",2
"113","과거",2
"114","과기",1
"115","관계",1
"116","관련",4
"117","관례",1
"118","관리본부",1
"119","광절열두조충민촌충갈고리촌충[]만손열두조충편충",1
"120","광절열두조충이란",1
"121","교수",2
"122","구제",2
"123","구조",1
"124","구충약",2
"125","구충약이",1
"126","구충을",1
"127","구충제",5
"128","구토",1
"129","국가차원",1
"130","국내",2
"131","국민",1
"132","군비경쟁",1
"133","권장",1
"134","귀순",1
"135","규정하",1
"136","그들",1
"137","그릴스가",1
"138","그릴스라도",1
"139","그물등개미에게",1
"140","극도",1
"141","극우",3
"142","근교",1
"143","급작",1
"144","기관지",1
"145","기괴",1
"146","기구",1
"147","기록",1
"148","기묘",1
"149","기사",1
"150","기생",26
"151","기생동물",1
"152","기생체스파이더맨",1
"153","기생충",82
"154","기생충[]스컬걸즈",1
"155","기생충[]죠죠",1
"156","기전",1
"157","기절",1
"158","기초과학",1
"159","기치",1
"160","기침",2
"161","김미영",1
"162","김씨",1
"163","까닭",1
"164","깨끗",2
"165","꽃잎",1
"166","나름",1
"167","나비",2
"168","나열",1
"169","나중",1
"170","난모세포(oocyte)를",1
"171","날씬",2
"172","남가뢰에게",1
"173","남미처럼",1
"174","남방",1
"175","남색",1
"176","남아메리카",1
"177","남아메리카에선",1
"178","낭미충증",1
"179","낭포(cysts)나",1
"180","내벽",1
"181","내분비",1
"182","내용",2
"183","냄새",2
"184","네티즌",1
"185","넷우익들이",1
"186","년",1
"187","년대",2
"188","노동조합",1
"189","노출",2
"190","노포",2
"191","녹내장",1
"192","농반진반으로",1
"193","뇌경색을",1
"194","뇌신경",1
"195","뇌혈관",1
"196","뉴스",2
"197","다기",1
"198","다리",1
"199","다문화",1
"200","다배발생을",1
"201","다양",2
"202","다이노썬더",1
"203","다이노젬특수전대",1
"204","다이몬(원작/크리스탈에서)",1
"205","다이어트",6
"206","단백질",1
"207","단순",1
"208","단행본",1
"209","달라붙어",1
"210","달성",1
"211","당시",1
"212","당연",2
"213","대변",10
"214","대부분",5
"215","대비",2
"216","대세",1
"217","대식구",1
"218","대응",2
"219","대장",1
"220","대중",1
"221","대통령",6
"222","대통령의",1
"223","대표",3
"224","대한",2
"225","데스모조리아파워레인저",1
"226","데카레인저",1
"227","도망",1
"228","도파민",1
"229","독력을",1
"230","동반자",1
"231","동종",1
"232","돼지",2
"233","돼지고기",2
"234","되기",1
"235","되는[]",1
"236","둘고퍼신세기",1
"237","둥지",1
"238","들어가면..",1
"239","들이",3
"240","들일",1
"241","등등",1
"242","등뼈",1
"243","등장",1
"244","디럭스",1
"245","딱정벌레목",2
"246","때문",5
"247","똥돼지가",1
"248","라담워크래프트",1
"249","라이언은",1
"250","라이프",1
"251","로아사상충심장사상충메디나충선모충요충(Enterobius",1
"252","로우키파워레인저",1
"253","림프",2
"254","마디",1
"255","마리",5
"256","마비",1
"257","마스크[]메탈기어",1
"258","마약",1
"259","만성",1
"260","만손열두조충",1
"261","만약",1
"262","만화",2
"263","말초신경",1
"264","망막",1
"265","맵시벌고치벌수중다리좀벌과",1
"266","먹이",1
"267","메리베스",1
"268","면발모양",1
"269","면역",4
"270","면역타협숙주(immunocompromised)에선",1
"271","멸망",1
"272","모기",1
"273","모기남가뢰",1
"274","모멸",1
"275","모험",1
"276","모후모게코",1
"277","목적",1
"278","몫했다는",1
"279","몸매",1
"280","몸속",1
"281","무성",2
"282","무슬림들과",1
"283","무엇",1
"284","무척추동물",1
"285","문단",1
"286","문맥압",1
"287","문제",5
"288","물고기",1
